First Name,Middle Initials,Last Name,First Initial,Last Initial,Initial
Lauren,E,Salminen,L,S,L.E.S.
Emily,L,Dennis,E,D,E.L.D.
Talia,M,Nir,T,N,T.M.N.
Peter,,Kochunov,P,K,P.K.
Arielle,R,Baskin-Sommers,A,B-.S,A.R.B-.S.
Carrie,R.,McDonald,C,M,C.R.M.
Ole,A,Andreassen,O,A,O.A.A.
Mojtaba,,Zarei,M,Z,M.Z.
Masoud,,Tahmasian,M,T,M.T.
Miguel,E.,Rentería,M,R,M.E.R.
Gemma,,Modinos,G,M,G.M.
Xiang-Zhen,,Kong,X.-Z,K,X.-Z.K.
Jan,K.,Buitelaar,J,B,J.K.B.
Daan,,van Rooij,D,vR,D.vR.
Martine,,Hoogman,M,H,M.H.
Sanjay,M,Sisodiya,S,S,S.M.S.
Nynke,A.,Groenewold,N,G,N.A.G.
Neeltje,EM,van Haren,N,vH,N.E.vH.
Sven,C,Mueller,S,M,S.C.M.
Ingrid,,Agartz,I,A,I.A.
Moji,,Aghajani,M,A,M.A.
daniel,,pine,D,P,D.P.
Ian,H,Harding,I,H,I.H.H.
Rajendra,A.,Morey,R,M,R.A.M.
Simon,E.,Fisher,S,F,S.E.F.
Stefan,,Ehrlich,S,E,S.E.
Graeme,,Fairchild,G,F,G.F.
Hugh,P,Garavan,H,G,H.P.G.
Sook-Lei,,Liew,S.-L,L,S.-L.L.
Charlotte,AM,Cecil,C,C,C.A.C.
Carrie,E,Bearden,C,B,C.E.B.
James,H,Cole,J,C,J.H.C.
Laurena,,Holleran,L,H,L.H.
Christopher,D,Whelan,C,W,C.D.W.
Theo,G.M.,van Erp,T,vE,T.G.vE.
Dennis,,Hernaus,D,H,D.H.
Nic,J.A.,van der Wee,N,vdW,N.J.vdW.
Odile,A,van den Heuvel,O,vdH,O.A.vdH.
Ysbrand,D.,van der Werf,Y,vdW,Y.D.vdW.
Andrew,R.,Mayer,A,M,A.R.M.
Carrie,,Esopenko,C,E,C.E.
David,F.,Tate,D,T,D.F.T.
Courtney,A,Filippi,C,F,C.A.F.
Eileen,,Lueders,E,L,E.L.
Patricia,J,Conrod,P,C,P.J.C.
Alexander,,Olsen,A,O,A.O.
Tiril,P,Gurholt,T,G,T.P.G.
Jason,L,Stein,J,S,J.L.S.
Inga,K,Koerte,I,K,I.K.K.
David,C,Glahn,D,G,D.C.G.
Rachel,M,Brouwer,R,B,R.M.B.
Frank,G,Hillary,F,H,F.G.H.
Bhim,M.,Adhikari,B,A,B.M.A.
Brenda,L,Bartnik-Olson,B,B-.O,B.L.B-.O.
Alexander,P,Lin,A,L,A.P.L.
Sophia,,FRANGOU,S,F,S.F.
Sophia,I,Thomopoulos,S,T,S.I.T.
Karen,,Caeyenberghs,K,C,K.C.
Ida,E,Sønderby,I,S,I.E.S.
Tim,,Hahn,T,H,T.H.
Janna Marie,,Bas-Hoogendam,JM,B-.H,JM.B-.H.
Fabio,,Macciardi,F,M,F.M.
Andre,,Altmann,A,A,A.A.
Sonja,MC,de Zwarte,S,dZ,S.M.dZ.
Sylvane,,Desrivieres,S,D,S.D.
Mark,W.,Logue,M,L,M.W.L.
Laura,A.,Berner,L,B,L.A.B.
Scott,,Mackey,S,M,S.M.
Barbara,,Franke,B,F,B.F.
Clyde,,Francks,C,F,C.F.
Merel,C.,Postema,M,P,M.C.P.
Carolien,G.F.,de Kovel,C,dK,C.G.dK.
Robert,R,Althoff,R,A,R.R.A.
Dan,J.,Stein,D,S,D.J.S.
Esther,,Walton,E,W,E.W.
Fabrizio,,Pizzagalli,F,P,F.P.
Tomas,,Hajek,T,H,T.H.
iliyan,,ivanov,I,I,I.I.
Lei,,Wang,L,W,L.W.
Thomas,,Frodl,T,F,T.F.
Leonardo,,Tozzi,L,T,L.T.
Yanli,,Zhang-James,Y,Z-.J,Y.Z-.J.
Tiffany,C,Ho,T,H,T.C.H.
Amanda,K,Tilot,A,T,A.K.T.
Christopher,R. K.,Ching,C,C,C.R.C.
Maria,,Jalbrzikowski,M,J,M.J.
Yann,,Chye,Y,C,Y.C.
Laura,S.,van Velzen,L,vV,L.S.vV.
Jian,,Chen,J,C,J.C.
Jun Soo,,Kwon,JS,K,JS.K.
Sarah,E,Medland,S,M,S.E.M.
Je-Yeon,,Yun,J.-Y,Y,J.-Y.Y.
Pauline,,Favre,P,F,P.F.
Udo,,Dannlowski,U,D,U.D.
Ulrike,,Lueken,U,L,U.L.
Janita,,Bralten,J,B,J.B.
Josselin,,Houenou,J,H,J.H.
Dick,J,Veltman,D,V,D.J.V.
Ilya,M,Veer,I,V,I.M.V.
Nils,,Opel,N,O,N.O.
Guido,A.,van Wingen,G,vW,G.A.vW.
Hilleke,E.,Hulshoff Pol,H,HP,H.E.HP.
Gunter,,Schumann,G,S,G.S.
Eus,J.W.,Van Someren,E,VS,E.J.VS.
Jessica,A.,Turner,J,T,J.A.T.
Sean,N,Hatton,S,H,S.N.H.
Natalia,,Shatokhina,N,S,N.S.
Lisa,T,Eyler,L,E,L.T.E.
Sinead,,Kelly,S,K,S.K.
Stephen,V,Faraone,S,F,S.V.F.
Peristera,,Paschou,P,P,P.P.
Agnes,B.,McMahon,A,M,A.B.M.
Rebecca,C,Knickmeyer,R,K,R.C.K.
iliyan,,ivanov,I,I,I.I.
Derrek,P,Hibar,D,H,D.P.H.
Pratik,,Mukherjee,P,M,P.M.
Neda,,Jahanshad,N,J,N.J.
Eduard,T.,Klapwijk,E,K,E.T.K.
Premika,SW,Boedhoe,P,B,P.S.B.
Boris,A,Gutman,B,G,B.A.G.
david,a,baron,D,B,D.a.B.
Willem,B,Bruin,W,B,W.B.B.
Julio,E,Villalon-Reina,J,V-.R,J.E.V-.R.
Daniel,,Garijo,D,G,D.G.
Margaret,J,Wright,M,W,M.J.W.
Daqiang,,Sun,D,S,D.S.
Yolanda,,Gil,Y,G,Y.G.
Jean-Paul,,Fouche,J.-P,F,J.-P.F.
Stephane,A,De Brito,S,DB,S.A.DB.
Celia,,van der Merwe,C,vdM,C.vdM.
Bernhard,Theodor,Baune,B,B,B.T.B.
Carles,,Soriano-Mas,C,S-.M,C.S-.M.
Sara,,Bertolín,S,B,S.B.
Dirk,J.A.,Smit,D,S,D.J.S.
Jeanne,,Leerssen,J,L,J.L.
Abraham,,Nunes,A,N,A.N.
Hans,J,Grabe,H,G,H.J.G.
Gary,,Donohoe,G,D,G.D.
Anderson,M.,Winkler,A,W,A.M.W.
Gianfranco,,Spalletta,G,S,G.S.
Vladimir,,Zelman,V,Z,V.Z.
Alexander,,Teumer,A,T,A.T.
Norbert,,Hosten,N,H,N.H.
Mark,S.,Shiroishi,M,S,M.S.S.
André,,Aleman,A,A,A.A.
Robin,,Bülow,R,B,R.B.
Katrina,L,Grasby,K,G,K.L.G.
Lianne,,Schmaal,L,S,L.S.
Jun Soo,,Kwon,JS,K,JS.K.
Joseph,,O'Neill,J,O,J.O.
Laura,KM,Han,L,H,L.K.H.
Federica,,Piras,F,P,F.P.
fabrizio,,piras,F,P,F.P.
Kevin,,Hilbert,K,H,K.H.
Katharina,,Wittfeld,K,W,K.W.
Henry,,Völzke,H,V,H.V.
Philipp,G,Sämann,P,S,P.G.S.
Danai,,Dima,D,D,D.D.
Elisabeth,A.,Wilde,E,W,E.A.W.
Elena,,Pozzi,E,P,E.P.
Tianye,,Jia,T,J,T.J.
Jonathan,D,Rohrer,J,R,J.D.R.
Ronald,A,Cohen,R,C,R.A.C.
Georg,,Homuth,G,H,G.H.
Henrik,,Walter,H,W,H.W.
Guohao,,Zhang,G,Z,G.Z.
Tim,,Hahn,T,H,T.H.
George,,Karkashadze,G,K,G.K.
